QueryId,Query Description
122,Android chroot ubuntu - is it possible to get ubuntu to recognise usb devices
697,problem in installing apps in karbonn A5i
384,LG L3 : difference between system memory and internal memory
219,List of ROMs for HTC Flyer
588,What is the difference between AOSP and CM/AOKP?
577,How can I customize the time to update my android applications?
243,Can I install additional languages on Android?
462,How do I root Android 2.3.3 on HTC Desire?
512,How can I download apps from Google Play to my Tab using my PC's Internet connection?
222,Does Android hide some amount of RAM from the User?
328,How do I connect to a wifi ap and 3g network simultaneously?
432,How do I remove previously download apps from my Google Play account?
261,Aoson M19 -- Device Drivers
143,What do I need to improve performance of the Android emulator?
144,Broken screen while debug mode was disabled. How can I re-enable adb?
523,Control volume of particular app
594,1GB/8GB advertised versus 967.5 MB / 5564.6 MB actual .HELP
4,How to backup an Android device?
45,Is it possible to upgrade my HTC Legend to Froyo without waiting for over the air updates?
178,"What happens to a running program when ""home"" button is pressed in Android phone?"
70,"Android tool to find what's taking space, and delete it?"
336,How can I stop applications and services from running?
115,Is there an app that will let me text from my pc with the same phone number?
451,Need to unlock Coby tablet; MicroSD card not formatted
436,How to unlock and root a Sony Ericsson Xperia Ray ST18i with 4.1.B.1.13
136,Configuring Background Images
457,Can a 3rd party app *technically* take better pictures?
592,I have the error that an application has been force stopped
206,Have I erased my songs? Samsung galaxy S2
647,Will Nexus 5 be allowed to update to Android L?
463,My Camera on my android tablet isn't letting me take any pictures. help?
97,Are there any apps for advanced Japanese learners?
192,Where on the file system are SMS messages stored?
113,How do I set a custom SMS tone for a single contact?
9,How to open Microsoft Excel files?
273,Why do phones have default limited user rights (not rooted)?
569,Can an app make phone calls in the background
520,Turn On Both Wifi and Wifi Hotspot
266,Rooting my phone and installing CyanogenMod. Can I ever go back?
300,Where does Google Play store its ebooks on an Android device?
533,Can you screen save on a Nexus 4?
534,Google Drive crashes on start
590,Are custom ROMs really required?
365,Where can I get the QR code for an app on the Play Store?
161,minimal hardware requirements for Android
309,Android phone discharges when it has 20%
170,How can I automatically reject some types of calls?
367,I have a Binatone Kidzstar and can't install android market or google play
669,how to stop an app upgrading?
668,Will my alarm still go off?
693,Simultaneity connect 2 Bluetooth devices (keyboard and a mouse)
111,How to give root access to apps that don't request it?
12,How do I remove HTC Desire pre-installed Android applications?
240,Cannot install Draw Something on Galaxy Mini GT S5570
579,PHone rebooting when screen turns off
695,Charging related question
82,Suggestions for syncing data to someone besides Google? Funambol?
81,How to access internet on my  HTC Desire from my pc with USB?
470,Copy contacts from iCloud to Android phone
105,"Why is ""insufficient storage"" wrongly reported when installing an .apk via adb?"
481,Find my iPhone equivalent
679,HTC One Mini data recovery after root
674,Samsung Galaxy Grand 2 Showing less RAM
283,How to have a long Standby and Battery -life?
643,Apps which change region in google play store
565,How to use PC internet on Android mobile via Bluetooth
393,How to change camera default save location?
158,How to rate in Market on Honeycomb tablet?
198,Is there a web browser+Java plugin available for Android?
573,Set Default Keyboard without having to long hold text input?
123,Samsung Kies: 'This version of the device can not be updated'. Never?
696,“Incompatible with other applications(s) using the same shared user ID” when installing Google Play service?
535,"My new phone isn't listed as a device in the Android Device Manager, how can I register it?"
0,How do I change the name of my Android device?
304,How to set up Google Apps Gmail on an Android -phone?
305,Galaxy phone turns on every minute for no reason
637,Deactivation of cell broadcast of HTC onemax dual sim (AT860)
250,How do I clear learned words?
496,Can `Phone Calls` application permission allow developer to read my contact book?
395,Flash Player does not work on Android 4.0 and upwards
394,Android Automatically Adds Shortcuts To Home Screen
25,I want to remotely control my Android device from my PC without rooting it. Is this possible?
410,Does nexus 4 work with indian network
235,Red Star And Green Cross Icons?
390,How to make 3G Video Calls?
546,Is it possible to turn off radio without turning of wifi on Lenovo k900?
326,execute linux commands on android froyo
491,Can your android device get malware?
193,How can I prevent long SMS messages from auto-converting to MMS?
35,How do I backup and restore SMS Messages?
33,How to use an android phone as a wireless webcam?
34,Does Froyo fix Samsung Galaxy S I9000's GPS problem?
388,What are Android's secret telephony codes?
458,forgot my google account password
662,how to freeze/hibernate system apps in non-root android mobilephones
404,Scripting Android
187,How can I save a file rather than open it?
75,"Are there any ""iptables like"" firewall for Android?"
72,Can I use ADB without connecting over USB?
319,How to make point to point VOIP call between two Android devices?
83,Unwanted folders showing up in Gallery. Can they be removed?
128,Is there any browser that allows to view the source?
112,Preventing mobile data use for select apps on non-rooted phone?
102,Auto login to wifi networks
101,icons for Android
482,Are there earphones with support for buttons similar to the OEM earphones?
459,Show messages on lock screen
311,Why can't android connect to an ad hoc hotspot?
347,Will flashing re-lock my unlocked phone
527,Possible digitizer problem?
502,"Built-in alarm, calendar suddenly talking to me. How can I shut them up?"
559,How to access USB drive with android browser?
290,How can I execute a script on the SD card and be able to pass arguments to it?
550,Turn a Android Phone with broken screen into dedicated Web server
375,What is the status icon that looks like a house?
370,What is the length and breadth of ONLY the screen in the Nexus 7?
413,apps wanting setting control
363,Turning off just email notification sound
657,no matter what i do my tablet has 0mb space available
659,Application to block icon movements on home pages
658,How to encrypt android device without screen lock?
166,How can I get Google's two-step verification to work?
22,Is there a good app that lets me to the app updates in one go?
423,Using a phone without data plan for multiplayer game dev
61,Problem with my thumbnails in gallery
330,Google Services hogging data - how to stop it?
479,search somebody from contacts with the numpads
478,What is the difference between the Linux Kernel and the Android Kernel?
485,How to change System Language in Android?
184,iOS on Android devices
117,Block all sounds going out through speaker when headphone connected
598,Howto encrypt my external SD card
104,Reinstalling purchased apps on a new phone?
441,"""Application has stopped unexpectedly"" error when starting Play Store or browser. How to fix?"
225,application to restore/download all market applications after new rom is installed
100,Why does taking a screen shot require root access?
578,Disable screen lock on samsung galaxy pocket gt s5300
271,What is this VPN setting good for?
315,Find lost acer android tablet without a tracker installed
518,google play authentiction required
354,Google Play app dissappeared
346,How to tether WiFi-internetconnection with Nexus 7 on a PC without WLAN via USB?
645,Should I switch to ART?
46,Is there a Word Lens alternative/port for Android?
52,How can I get Kies to detect my Galaxy S GT-i9000 on Windows 7?
167,How can I avoid the battery charging when connected via USB?
168,How does Google Maps estimate my location without GPS?
227,How to take backup of all installed APKs from Phone to PC?
180,Can I install applications onto sd card with Android 2.1?
181,"Always seeing ""No connection: Retry"" in Android Market"
14,How can I prevent my HTC Desire from overheating?
15,How to break in a new cell phone battery?
566,Cant connect S3 with CM 10.2 to adb
87,How can I check the OS version of an Android device?
278,Can an Android text message set off an alarm?
116,How to capture video stream from Android phone screen and show it on laptop?
531,Application downloading error (919)
530,"How do enable ""Haptic Feedback"" on on my Samsung Galaxy Young GT-S5360T"
600,How do I remove gapps from CyanogenMod
568,I can't delete my messages
687,Installed Comodo SSL certificate not showing in User in Trusted credentials
686,LG Nexus 4 E960 red light of death
